NDOC;HRP5;HRP5_1B;ASSALARIADO
845;643.34;519.84;N
846;1445.88;2012.66;S
847;1700.06;1009.64;N
848;1844.05;9089.88;S
849;2935.04;2763.77;S
850;534.63;787.09;N
851;39.33;332.77;N
852;1084.86;937.36;N
853;2489.23;2489.23;N
854;1533.94;787.78;S
855;807.10;738.25;S
856;2924.82;2924.82;S
857;2471.22;3420.22;S
858;307.34;332.62;S
859;497.14;891.90;N
860;16783.98;22928.63;N
861;4528.46;4172.35;N
862;2553.41;2850.03;S
863;2777.66;2777.66;N
864;179.41;179.41;S
865;7081.11;7096.35;N
866;1412.03;1258.20;N
867;8135.96;8721.62;S
868;1095.68;951.97;S
869;2276.43;2276.43;N
870;2968.57;2285.06;N
871;1805.15;2551.87;S
872;3970.12;3970.12;S
873;2592.71;3196.01;N
874;1098.06;1153.19;N
875;1890.49;1890.49;S
876;1387.33;1387.33;N
877;2975.56;4091.59;N
878;3917.16;3917.16;S
879;8018.18;7165.70;S
880;3172.95;21.35;N
881;1730.02;1883.18;N
882;2148.97;1768.61;N
883;1479.27;1526.33;S
884;731.79;988.50;S
885;1304.84;1771.84;S
886;1789.86;1075.46;N
887;6664.53;6664.53;S
888;1946.10;1933.45;S
889;2054.81;1053.18;N
890;2365.57;2365.57;S
891;709.34;842.36;S
892;7900.60;9440.42;S
893;1680.23;2142.57;S
894;709.83;628.54;S
895;9043.98;14275.61;N
896;6441.86;7779.49;S
897;4041.38;4358.83;S
898;1443.86;1604.88;S
899;8223.36;7947.33;S
900;2841.91;3078.87;S
901;1484.24;1551.48;S
902;924.13;1424.73;S
903;2153.48;2700.04;N
904;562.49;562.49;S
905;1372.91;1736.57;S
906;1145.38;1245.63;S
907;1705.45;1832.38;N
908;565.23;573.88;S
909;550.96;503.87;N
910;641.31;1201.05;S
911;1445.46;1951.86;S
912;2943.40;3072.95;S
913;1284.65;1796.34;S
914;1992.60;2044.06;N
915;5697.84;6824.04;S
916;10661.16;10414.79;N
917;1555.81;1424.56;N
918;2042.23;2217.43;S
919;2.45;0.00;S
920;7085.78;6199.15;N
921;10667.25;9230.00;S
922;1694.25;1694.25;N
923;2845.28;2845.28;S
924;1878.32;1878.32;S
925;1419.51;1532.59;S
926;1766.44;1766.44;N
927;4087.42;4664.22;S
928;2095.83;2070.09;N
929;1340.31;1628.91;S
930;8067.14;6906.50;S
931;460.49;460.49;N
932;7397.59;4872.05;N
933;3684.09;5242.37;S
934;226.57;226.57;N
935;690.82;1097.68;S
936;793.06;960.03;S
937;2754.55;3204.38;S
938;1090.78;1450.88;S
939;1728.55;1699.28;S
940;191.55;97.94;S
941;504.20;662.16;S
942;354.82;504.87;N
943;110.32;110.32;N
944;2557.13;2557.13;N
945;283.61;759.10;S
946;1855.37;1855.37;S
947;3951.35;6042.61;S
948;1658.55;1658.55;S
949;1590.56;1590.56;S
950;10647.10;8392.66;N
951;4450.40;4308.67;S
952;2400.24;1644.89;N
953;3216.07;2663.78;S
954;68.23;51.27;S
955;2096.33;2096.33;S
956;4585.46;3458.21;N
957;4093.24;5228.90;S
958;1376.34;1848.02;S
959;2491.48;2491.48;S
960;1109.38;559.32;N
961;4013.37;2432.13;S
962;13204.83;13204.83;S
963;3697.75;5446.83;S
964;1357.37;1240.41;S
965;5327.50;5687.64;S
966;4136.10;4654.18;S
967;1390.30;1345.38;N
968;1764.90;1553.90;S
969;4574.30;52162.19;S
970;2091.96;2643.55;S
971;1209.74;869.00;N
972;1200.08;972.84;S
973;703.33;617.74;S
974;1937.16;924.10;N
975;2522.27;2970.86;S
976;1318.65;1624.49;S
977;2256.45;1990.16;N
978;3928.32;136.43;S
979;4317.34;4317.34;S
980;14858.42;14858.42;N
981;601.60;619.65;N
982;943.16;1087.11;N
983;1828.98;2108.78;N
984;806.69;646.16;S
985;1144.28;1144.28;S
986;1254.31;876.98;N
987;1682.74;2011.65;S
988;3042.15;1365.94;N
989;2788.80;1996.49;N
990;3244.11;3711.46;S
991;12555.34;12555.34;S
992;210.39;140.72;N
993;1033.88;914.51;N
994;4434.77;5088.25;S
995;1602.12;641.59;S
996;3272.18;2491.80;N
997;1969.66;1797.80;S
998;1478.37;1707.79;N
999;414.50;414.50;N
1000;9421.71;15153.30;N
1001;9870.64;9870.64;N
1002;401.03;475.91;N
1003;718.58;805.97;N
1004;2190.54;2269.44;S
1005;4200.17;4596.69;S
1006;290.19;0.00;S
